name,infolink
Bf Ehrenfeld,https://www.kvb.koeln/haltestellen/overview/835/
Bf Lövenich,https://www.kvb.koeln/haltestellen/overview/212/
Bf Mülheim,https://www.kvb.koeln/haltestellen/overview/572/
Bf Porz,https://www.kvb.koeln/haltestellen/overview/468/
Bf Süd,https://www.kvb.koeln/haltestellen/overview/876/
Bieselweg,https://www.kvb.koeln/haltestellen/overview/500/
Birkenallee,https://www.kvb.koeln/haltestellen/overview/203/
Birkenweg,https://www.kvb.koeln/haltestellen/overview/614/
Bistritzer Str.,https://www.kvb.koeln/haltestellen/overview/872/
Bitterstr.,https://www.kvb.koeln/haltestellen/overview/429/
Blaubach,https://www.kvb.koeln/haltestellen/overview/970/
Blaugasse,https://www.kvb.koeln/haltestellen/overview/233/
Blériotstr.,https://www.kvb.koeln/haltestellen/overview/276/
Blockstr.,https://www.kvb.koeln/haltestellen/overview/399/
Blumenberg S-Bahn,https://www.kvb.koeln/haltestellen/overview/8756/
Blumenbergsweg,https://www.kvb.koeln/haltestellen/overview/889/
Bocklemünd,https://www.kvb.koeln/haltestellen/overview/291/
Bodinusstr.,https://www.kvb.koeln/haltestellen/overview/318/
Boltensternstr.,https://www.kvb.koeln/haltestellen/overview/314/
Bonhoefferstr.,https://www.kvb.koeln/haltestellen/overview/642/
Bonn Hauptbahnhof,https://www.kvb.koeln/haltestellen/overview/687/
Bonn West,https://www.kvb.koeln/haltestellen/overview/688/
Bonner Landstr.,https://www.kvb.koeln/haltestellen/overview/94/
Bonner Str./Gürtel,https://www.kvb.koeln/haltestellen/overview/81/
Bonner Wall,https://www.kvb.koeln/haltestellen/overview/20/
Bonntor,https://www.kvb.koeln/haltestellen/overview/783/
Bornheim,https://www.kvb.koeln/haltestellen/overview/673/
Bornheim Rathaus,https://www.kvb.koeln/haltestellen/overview/628/
Borsigstr.,https://www.kvb.koeln/haltestellen/overview/256/
Brahmsstr.,https://www.kvb.koeln/haltestellen/overview/172/
Braugasse,https://www.kvb.koeln/haltestellen/overview/220/
Bremerhavener Str.,https://www.kvb.koeln/haltestellen/overview/365/
Breslauer Platz/Hbf,https://www.kvb.koeln/haltestellen/overview/9/
Broichstr.,https://www.kvb.koeln/haltestellen/overview/541/
Bruder-Klaus-Siedlung,https://www.kvb.koeln/haltestellen/overview/638/
Brück Mauspfad,https://www.kvb.koeln/haltestellen/overview/547/
